Year,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,relative_humidity_2m_mean,soil_temperature_mean,Infection Prevalence,Mortality Rate
2001,19.832963988919666,14.485872576177284,14.485872576177284,0.0,84.72853185595568,20.24736842105263,31.7998133506157,177.79059529551
2002,20.25013698630137,13.64,13.64,0.0,82.92876712328767,20.616438356164384,30.6916487025398,173.010006295534
2003,20.320273972602735,14.510136986301369,14.510136986301369,0.0,82.77534246575343,20.68383561643836,27.7034593307483,169.620785173823
2004,20.37486338797814,14.328961748633878,14.328961748633878,0.0,82.11475409836065,20.696174863387977,25.6601091891785,165.920016954859
2005,20.676438356164383,14.743835616438355,14.743835616438355,0.0,80.93972602739726,21.04027397260274,23.769220020649,161.665016654797
2006,20.074246575342467,15.13835616438356,15.13835616438356,0.0,84.7972602739726,20.53150684931507,21.3842913254914,158.6621183394
2007,20.252054794520543,14.496986301369862,14.496986301369862,0.0,82.83561643835617,20.727123287671237,20.21311389778,152.123798320728
2008,19.95983606557377,13.164754098360657,13.164754098360657,0.0,83.96448087431693,20.364207650273222,20.4865252084086,143.83156721252
2009,20.2986301369863,15.90164383561644,15.90164383561644,0.0,83.91506849315068,20.69945205479452,22.4806404361312,133.022711546397
2010,20.589315068493157,15.755616438356164,15.755616438356164,0.0,84.20547945205479,20.961369863013697,25.089059991637804,122.24623120136
2011,20.12958904109589,13.630958904109589,13.630958904109589,0.0,83.82739726027397,20.544931506849316,22.2835323984447,111.545316811409
2012,20.33551912568306,13.76174863387978,13.76174863387978,0.0,81.3415300546448,20.798360655737703,14.539492313513898,103.252109942778
2013,20.29068493150685,12.862465753424658,12.862465753424658,0.0,83.15342465753425,20.595342465753426,9.10316076755499,96.6272806410552
2014,20.50219178082192,12.956438356164384,12.956438356164384,0.0,81.04383561643836,20.89917808219178,7.79355965220556,92.0998907407984
2015,20.60027397260274,15.333424657534248,15.333424657534248,0.0,81.96986301369863,21.10794520547945,9.57331175364303,89.22896325245149
2016,21.03032786885246,13.481147540983608,13.481147540983608,0.0,80.8743169398907,21.40273224043716,12.8071498533817,87.1660150746761
2017,21.99095890410959,6.709041095890411,6.709041095890411,0.0,77.54794520547945,22.314246575342462,14.8786971147066,67.27703043123181
2018,21.535342465753423,8.057808219178082,8.057808219178082,0.0,79.99178082191781,21.88986301369863,14.8323499867979,63.5059464499793
2019,21.343013698630138,11.772054794520548,11.772054794520548,0.0,84.75616438356164,21.64356164383561,13.7637019914995,62.2565777972058
2020,21.503005464480875,10.407103825136613,10.407103825136613,0.0,82.77868852459017,21.67103825136612,12.6320384868199,61.053254602847794
2021,21.552876712328768,6.816986301369862,6.816986301369862,0.0,79.95342465753424,21.775342465753425,11.9521457739043,59.479829662778606
2022,21.37041095890411,7.668767123287671,7.668767123287671,0.0,79.0027397260274,21.5772602739726,11.6994856983838,54.2912698447434
2023,21.60794520547945,8.097534246575343,8.097534246575343,0.0,80.26575342465753,21.72876712328767,12.4850965663927,51.5321219961164
2024,22.764705882352946,0.611764705882353,0.611764705882353,0.0,66.82352941176471,22.423529411764704,12.4407663942284,51.1073632257325
